PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;19.05;36.6522;19.2532;82.55;4;94.8064
DN20;19.05;36.6522;19.2532;88.9;4;100.9064
DN25;22.225;42.164;22.479;101.6;4;113.458
DN32;22.225;42.164;22.479;111.25;4;113.458
DN40;25.4;47.6504;25.7048;123.95;4;126.5096
DN50;22.225;42.164;22.479;165.1;8;132.758
DN65;25.4;47.6504;25.7048;190.5;8;145.3096
DN80;22.225;42.164;22.479;190.5;8;132.758
DN100;28.575;53.1622;28.9306;234.95;8;158.3612
DN125;31.75;58.6486;31.7754;279.4;8;176.7508
DN150;28.575;53.1622;28.9306;317.5;12;180.7212
DN200;34.925;64.1604;35.0012;393.7;12;208.6024
DN250;34.925;64.1604;35.0012;469.9;16;221.3024
DN300;34.925;64.1604;35.0012;533.4;20;240.1024
DN350;38.1;69.6468;38.227;558.8;20;259.754
DN400;41.275;75.1586;41.4528;615.95;20;272.3056
DN450;47.625;84.1375;46.83125;685.8;20;308.4625
DN500;50.8;91.6432;51.1302;749.3;20;329.7604
DN600;63.5;113.6396;63.627;901.7;20;418.254
