PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;2.77;45;38.6274169979695
DN20;26.67;2.87;45;45.8700576850888
DN25;33.4;3.38;45;53.1126983722081
DN32;42.16;3.56;45;60.3553390593274
DN40;48.26;3.68;45;70.0121933088197
DN50;60.32;3.91;45;84.4974746830583
DN65;73.02;5.16;45;106.225396744416
DN80;88.9;5.49;45;123.124891681028
DN90;101.6;5.74;45;137.610173055266
DN100;114.3;6.02;45;154.509667991878
DN125;141.3;6.55;45;190.722871427475
DN150;168.27;7.11;45;229.350288425444
DN200;219.07;8.18;45;306.605122421383
DN250;273.05;7.8;45;383.859956417322
DN300;323.85;9.52;45;458.700576850888
DN350;355.6;9.52;45;535.955410846827
DN400;406.4;9.52;45;613.210244842766
DN450;457.2;9.52;45;690.465078838705
DN500;508;9.52;45;767.719912834644
DN550;558.8;9.52;45;828.075251893972
DN600;609.6;9.52;45;919.815367264149
