PSize;OD;thk;BendAngle;BendRadius
DN15;21.34;7.47;45;38.6274169979695
DN20;26.67;7.82;45;45.8700576850888
DN25;33.4;9.09;45;53.1126983722081
DN32;42.16;9.7;45;60.3553390593274
DN40;48.26;10.16;45;70.0121933088197
DN50;60.32;11.07;45;84.4974746830583
DN65;73.02;14.02;45;106.225396744416
DN80;88.9;15.24;45;123.124891681028
DN90;101.6;;45;137.610173055266
DN100;114.3;17.12;45;154.509667991878
DN125;141.3;19.05;45;190.722871427475
DN150;168.27;21.95;45;229.350288425444
DN200;219.07;22.22;45;306.605122421383
DN250;273.05;25.4;45;383.859956417322
DN300;323.85;25.4;45;458.700576850888
DN350;355.6;;45;535.955410846827
DN400;406.4;;45;613.210244842766
DN450;457.2;;45;690.465078838705
DN500;508;;45;767.719912834644
DN550;558.8;;45;828.075251893972
DN600;609.6;;45;919.815367264149
