PSize;FlangeType;D;t;f;n;df;drf;trf;FClass
DN15;BL;88.9;11.18;15.75;4;60.45;35.05;1.6;150lb
DN20;BL;98.55;12.7;15.75;4;69.85;42.93;1.6;150lb
DN25;BL;107.95;14.22;15.75;4;79.25;50.8;1.6;150lb
DN32;BL;117.35;15.75;15.75;4;88.9;63.5;1.6;150lb
DN40;BL;127;17.53;15.75;4;98.55;73.15;1.6;150lb
DN50;BL;152.4;19.05;19.05;4;120.65;91.95;1.6;150lb
DN65;BL;177.8;22.35;19.05;4;139.7;104.65;1.6;150lb
DN80;BL;190.5;23.88;19.05;4;152.4;127;1.6;150lb
DN90;BL;215.9;23.88;19.05;8;177.8;139.7;1.6;150lb
DN100;BL;228.6;23.88;19.05;8;190.5;157.23;1.6;150lb
DN125;BL;254;23.88;22.35;8;215.9;185.67;1.6;150lb
DN150;BL;279.4;25.4;22.35;8;241.3;215.9;1.6;150lb
DN200;BL;342.9;28.45;22.35;8;298.45;269.75;1.6;150lb
DN250;BL;406.4;30.23;25.4;12;361.95;323.85;1.6;150lb
DN300;BL;482.6;31.75;25.4;12;431.8;381;1.6;150lb
DN350;BL;533.4;35.05;28.45;12;476.25;412.75;1.6;150lb
DN400;BL;596.9;36.58;28.45;16;539.75;469.9;1.6;150lb
DN450;BL;635;39.62;31.75;16;577.85;533.4;1.6;150lb
DN500;BL;698.5;42.93;31.75;20;635;584.2;1.6;150lb
DN600;BL;812.8;47.75;35.05;20;749.3;692.15;1.6;150lb
