PSize;FlangeType;D;d;t;T1;ODp;f;n;df;R;ldrf;ltrf;kg
DN15;LJ;88.90;22.86;11.18;15.75;30.23;15.75;4;60.45;3.05;35.05;1.60;0.40
DN20;LJ;98.55;28.19;12.70;15.75;38.10;15.75;4;69.85;3.05;42.93;1.60;0.57
DN25;LJ;107.95;35.05;14.22;17.53;49.28;15.75;4;79.25;3.05;50.80;1.60;0.78
DN32;LJ;117.35;43.69;15.75;20.57;58.67;15.75;4;88.90;4.83;63.50;1.60;1.02
DN40;LJ;127.00;50.04;17.53;22.35;65.02;15.75;4;98.55;6.35;73.15;1.60;1.33
DN50;LJ;152.40;62.48;19.05;25.40;77.72;19.05;4;120.65;7.87;91.95;1.60;2.06
DN65;LJ;177.80;75.44;22.35;28.45;90.42;19.05;4;139.70;7.87;104.65;1.60;3.29
DN80;LJ;190.50;91.44;23.88;30.23;107.95;19.05;4;152.40;9.65;127.00;1.60;3.85
DN90;LJ;215.90;104.14;23.88;31.75;122.17;19.05;8;177.80;9.65;139.70;1.60;4.81
DN100;LJ;228.60;116.84;23.88;33.27;134.87;19.05;8;190.50;11.18;157.23;1.60;5.29
DN125;LJ;254.00;144.53;23.88;36.58;163.58;22.35;8;215.90;11.18;185.67;1.60;6.05
DN150;LJ;279.40;171.45;25.40;39.62;192.02;22.35;8;241.30;12.70;215.90;1.60;7.39
DN200;LJ;342.90;222.25;28.45;44.45;246.13;22.35;8;298.45;12.70;269.75;1.60;11.98
DN250;LJ;406.40;277.37;30.23;49.28;304.80;25.40;12;361.95;12.70;323.85;1.60;16.38
DN300;LJ;482.60;328.17;31.75;55.63;365.25;25.40;12;431.80;12.70;381.00;1.60;26.03
DN350;LJ;533.40;360.17;35.05;79.25;400.05;28.45;12;476.25;12.70;412.75;1.60;38.63
DN400;LJ;596.90;411.23;36.58;87.38;457.20;28.45;16;539.75;12.70;469.90;1.60;50.65
DN450;LJ;635.00;462.28;39.62;96.77;504.95;31.75;16;577.85;12.70;533.40;1.60;55.94
DN500;LJ;698.50;514.35;42.93;103.12;558.80;31.75;20;635.00;12.70;584.20;1.60;70.30

