PSize;FlangeType;D;d;t;T1;ODp;f;n;df;drf;trf;kg
DN15;SO;95.25;22.35;14.22;22.35;38.10;15.75;4;66.55;35.05;6.40;0.74
DN20;SO;117.35;27.69;15.75;25.40;47.75;19.05;4;82.55;42.93;6.40;1.25
DN25;SO;123.95;34.54;17.53;26.92;53.85;19.05;4;88.90;50.80;6.40;1.53
DN32;SO;133.35;43.18;20.57;28.45;63.50;19.05;4;98.55;63.50;6.40;2.02
DN40;SO;155.45;49.53;22.35;31.75;69.85;22.35;4;114.30;73.15;6.40;2.97
DN50;SO;165.10;61.98;25.40;36.58;84.07;19.05;8;127.00;91.95;6.40;3.62
DN65;SO;190.50;74.68;28.45;41.15;100.08;22.35;8;149.35;104.65;6.40;5.24
DN80;SO;209.55;90.68;31.75;45.97;117.35;22.35;8;168.15;127.00;6.40;7.00
DN90;SO;228.60;103.38;35.05;49.58;133.35;25.40;8;169.15;139.70;6.40;8.84
DN100;SO;273.05;116.08;38.10;53.85;152.40;25.40;8;215.90;157.53;6.40;14.52
DN125;SO;330.20;143.76;44.45;80.45;188.98;28.45;8;266.70;185.67;6.40;24.47
DN150;SO;355.60;170.69;47.75;66.55;222.25;28.45;12;292.0;215.90;6.40;28.82
DN200;SO;419.10;221.49;55.63;76.20;273.05;31.75;12;349.25;269.75;6.40;43.43
DN250;SO;508.00;276.35;63.50;85.85;342.90;35.05;16;431.80;323.85;6.40;70.23
DN300;SO;558.80;327.15;66.55;91.95;400.05;35.05;20;488.95;381.00;6.40;83.92
DN350;SO;603.25;359.16;69.85;93.73;431.80;38.10;20;527.05;412.75;6.40;98.74
DN400;SO;685.80;410.46;76.20;106.43;495.30;41.15;20;603.25;469.90;6.40;142.27
DN450;SO;742.95;461.77;82.55;117.35;546.10;44.45;20;654.05;533.40;6.40;173.32
DN500;SO;812.80;513.08;88.90;127.00;609.60;44.45;24;723.90;584.20;6.40;220.33
