PSize;FlangeType;D;BD;d;B2;B1*;t;Y;T1;ODp;f;n;df;drf;trf;kg
DN15;SW;88.90;22.35;15.75;22.35;13.97;11.18;9.65;15.75;30.23;15.75;4;60.45;35.05;1.60;0.41
DN20;SW;98.55;27.69;20.83;27.69;18.80;12.70;11.18;15.75;38.10;15.75;4;69.85;42.93;1.60;0.58
DN25;SW;107.95;34.54;26.67;34.54;24.38;14.22;12.70;17.53;49.28;15.75;4;79.25;50.80;1.60;0.79
DN32;SW;117.35;43.18;35.05;43.18;32.51;15.75;14.22;20.57;58.67;15.75;4;88.90;63.50;1.60;1.05
DN40;SW;127.00;49.53;40.89;49.53;38.10;17.53;15.75;22.35;65.02;15.75;4;98.55;73.15;1.60;1.36
DN50;SW;152.40;61.98;52.58;61.98;49.28;19.05;17.53;25.40;77.72;19.05;4;120.65;91.95;1.60;2.12
DN65;SW;177.80;74.68;62.74;74.68;58.93;22.35;19.05;28.45;90.42;19.05;4;139.70;104.65;1.60;3.40
DN80;SW;190.50;90.68;77.98;90.68;73.66;23.88;20.57;30.23;107.95;19.05;4;152.40;127.00;1.60;4.01
DN90;SW;215.90;103.38;90.17;103.38;85.34;23.88;22.35;31.75;122.17;19.05;8;177.80;139.70;1.60;4.99
DN100;SW;228.60;116.08;102.36;116.08;97.28;23.88;23.88;33.27;134.87;19.05;8;190.50;157.23;1.60;5.50
DN125;SW;254.00;143.76;128.27;143.76;122.17;23.88;23.88;36.58;163.58;22.35;8;215.90;185.67;1.60;6.43
DN150;SW;279.40;170.69;154.18;170.69;146.30;25.40;26.92;39.62;192.02;22.35;8;241.30;215.90;1.60;7.88
DN200;SW;342.90;221.49;253.49;221.49;193.80;28.45;31.75;44.45;246.13;22.35;8;298.45;269.75;1.60;10.88
DN250;SW;406.40;276.35;254.51;276.35;247.65;30.23;33.27;49.28;304.80;25.40;12;361.95;323.85;1.60;17.70
DN300;SW;482.60;327.15;304.80;327.15;298.45;31.75;39.62;55.63;365.25;25.40;12;431.80;381.00;1.60;27.65
DN350;SW;533.40;359.16;336.55;359.16;330.20;35.05;41.40;57.15;400.05;28.45;12;476.25;412.75;1.60;36.29
DN400;SW;596.90;410.46;387.35;410.46;381.00;36.58;44.45;63.50;457.20;28.45;16;539.75;469.90;1.60;47.18
DN450;SW;635.00;461.77;438.15;461.77;431.80;39.62;49.28;68.33;504.95;31.75;16;577.85;533.40;1.60;51.39
DN500;SW;698.50;513.08;488.95;513.08;482.60;42.93;54.10;73.15;558.80;31.75;20;635.00;584.20;1.60;64.91
DN600;SW;812.80;615.95;590.55;615.95;584.20;47.75;63.50;82.55;663.45;35.05;20;749.30;692.15;1.60;90.73
