PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf;kg
DN15;WN;88.90;15.75;11.18;47.75;30.23;29.21;7.37;21.34;3.05;15.75;4;60.45;35.05;1.60;0.49
DN20;WN;98.55;20.83;12.70;52.32;38.10;31.75;7.87;26.67;3.05;15.75;4;69.85;42.93;1.60;0.72
DN25;WN;107.95;26.67;14.22;55.63;49.28;33.02;8.38;33.53;3.05;15.75;4;79.25;50.80;1.60;1.03
DN32;WN;117.35;35.05;15.75;57.15;58.67;33.02;8.38;42.16;4.83;15.75;4;88.90;63.50;1.60;1.34
DN40;WN;127.00;40.89;17.53;61.98;65.02;35.56;8.89;48.26;6.35;15.75;4;98.55;73.15;1.60;1.74
DN50;WN;152.40;52.58;19.05;63.50;77.72;35.56;8.89;60.45;7.87;19.05;4;120.65;91.95;1.60;2.60
DN65;WN;177.80;62.74;22.35;69.85;90.42;38.10;9.40;73.15;7.87;19.05;4;139.70;104.65;1.60;4.17
DN80;WN;190.50;77.93;23.88;69.85;107.95;36.83;9.14;88.90;9.65;19.05;4;152.40;127.00;1.60;4.99
DN90;WN;215.90;90.17;23.88;71.37;122.17;38.10;9.40;101.60;9.65;19.05;8;177.80;139.70;1.60;6.18
DN100;WN;228.60;102.26;23.88;76.20;134.87;41.91;10.41;114.30;11.18;19.05;8;190.50;157.23;1.60;6.98
DN125;WN;254.00;128.19;23.88;88.90;163.58;52.07;12.95;141.22;11.18;22.35;8;215.90;185.67;1.60;8.72
DN150;WN;279.40;154.05;25.40;88.90;192.02;50.80;12.70;168.40;12.70;22.35;8;241.30;215.90;1.60;10.74
DN200;WN;342.90;202.72;28.45;101.60;246.13;58.42;14.73;219.20;12.70;22.35;8;298.45;269.75;1.60;17.68
DN250;WN;406.40;254.51;30.23;101.60;304.80;57.15;14.22;273.05;12.70;25.40;12;361.95;323.85;1.60;24.25
DN300;WN;482.60;304.80;31.75;114.30;365.25;66.04;16.51;323.85;12.70;25.40;12;431.80;381.00;1.60;36.93
DN350;WN;533.40;336.55;35.05;127.00;400.05;73.66;18.29;355.60;12.70;28.45;12;476.25;412.75;1.60;48.88
DN400;WN;596.90;387.35;36.58;127.00;457.20;72.39;18.03;406.40;12.70;28.45;16;539.75;469.90;1.60;60.47
DN450;WN;635.00;438.15;39.62;139.70;504.95;80.01;20.07;457.20;12.70;31.75;16;577.85;533.40;1.60;68.37
DN500;WN;698.50;488.95;42.93;144.53;558.80;81.28;20.32;508.00;12.70;31.75;20;635.00;584.20;1.60;84.60
DN600;WN;812.80;590.55;47.75;152.40;663.45;83.82;20.83;609.60;12.70;35.05;20;749.30;692.15;1.60;115.33
