PSize;FlangeType;D;d;t;T1;dwn;twn;t1;ODp;R;f;n;df;drf;trf
DN15;WN;95.25;15.75;14.22;52.32;38.10;30.48;7.62;21.34;3.05;15.75;4;66.55;35.05;6.40
DN20;WN;117.35;20.83;15.75;57.15;47.75;33.02;8.38;26.67;3.05;19.05;4;82.55;42.93;6.40
DN25;WN;123.95;26.67;17.53;61.98;53.85;35.56;8.89;33.53;3.05;19.05;4;88.90;50.80;6.40
DN32;WN;133.35;35.05;20.57;66.55;63.50;36.83;9.14;42.16;4.83;19.05;4;98.55;63.50;6.40
DN40;WN;155.45;40.89;22.35;69.85;69.85;38.10;9.40;48.26;6.35;22.35;4;114.30;73.15;6.40
DN50;WN;165.10;52.58;25.40;73.15;84.07;38.10;9.65;60.45;7.87;19.05;8;127.00;91.95;6.40
DN65;WN;190.50;62.74;28.45;79.25;100.08;40.64;10.16;73.15;7.87;22.35;8;149.35;104.65;6.40
DN80;WN;209.55;77.98;31.75;82.55;117.35;40.64;10.16;88.90;9.65;22.35;8;168.15;127.00;6.40
DN90;WN;228.60;90.17;35.05;85.85;133.35;40.64;10.16;101.60;9.65;25.40;8;184.15;139.70;6.40
DN100;WN;273.05;102.36;38.10;101.60;152.40;50.80;12.70;114.30;11.18;25.40;8;215.90;157.53;6.40
DN125;WN;330.20;128.27;44.45;114.30;188.98;55.88;13.97;141.22;11.18;28.45;8;266.70;185.67;6.40
DN150;WN;355.60;154.18;47.75;117.35;222.25;55.63;13.97;168.40;12.70;28.45;12;292.10;215.90;6.40
DN200;WN;419.10;202.69;55.63;133.35;273.05;62.23;15.49;219.20;12.70;31.75;12;349.25;269.75;6.40
DN250;WN;508.00;254.51;63.50;152.40;342.90;71.12;17.78;273.05;12.70;35.05;16;431.80;323.85;6.40
DN300;WN;558.80;304.80;66.55;155.45;400.05;71.12;17.78;323.85;12.70;35.05;20;488.95;381.00;6.40
DN350;WN;603.25;336.55;69.85;165.10;431.80;76.20;19.05;355.60;12.70;38.10;20;527.05;412.75;6.40
DN400;WN;685.80;387.35;76.20;177.80;495.30;81.28;20.32;406.40;12.70;41.15;20;603.25;469.90;6.40
DN450;WN;742.95;438.15;82.55;184.15;546.10;81.28;20.32;457.20;12.70;44.45;20;654.05;533.40;6.40
DN500;WN;812.80;488.95;88.90;190.50;609.60;81.28;20.32;508.00;12.70;44.45;24;723.90;584.20;6.40
DN600;WN;939.8;590.56;101.6;203.2;717.55;81.28;;609.6;;50.8;24;838.2;692.15;6.4;
