PSize;IRID;SEID;SEOD;CROD;SEthk;Rthk
DN15;14.2;19.1;31.8;63.5;4.5;3.2
DN20;20.6;25.4;39.6;69.9;4.5;3.2
DN25;26.9;31.8;47.8;79.5;4.5;3.2
DN32;33.3;39.6;60.5;88.9;4.5;3.2
DN40;41.4;47.8;69.9;98.6;4.5;3.2
DN50;52.3;58.7;85.9;143;4.5;3.2
DN65;63.5;69.9;98.6;165.1;4.5;3.2
DN80;78.7;92.2;120.7;174.8;4.5;3.2
DN100;97.8;117.6;149.4;209.6;4.5;3.2
DN125;124.5;143;177.8;254;4.5;3.2
DN150;147.3;171.5;209.6;282.7;4.5;3.2
DN200;196.9;215.9;257.3;352.6;4.5;3.2
DN250;246.1;266.7;311.2;435.1;4.5;3.2
DN300;292.1;323.9;368.3;520.7;4.5;3.2
DN350;320.8;362;400.1;577.9;4.5;3.2
DN400;368.3;406.4;457.2;641.4;4.5;3.2
DN450;425.5;463.6;520.7;704.9;4.5;3.2
DN500;476.3;514.4;571.5;755.7;4.5;3.2
DN600;577.9;616;679.5;901.7;4.5;3.2
