PSize;PSize2;OD;OD2;thk;thk2;H
DN20;DN15;26.67;21.34;3.91;3.73;38
DN25;DN15>DN20;33.4;21.34>26.67;4.55;3.73>3.91;51
DN32;DN15>DN20>DN25;42.16;21.34>26.67>33.4;4.85;3.73>3.91>4.55;51
DN40;DN15>DN20>DN25>DN32;48.26;21.34>26.67>33.4>42.16;5.08;3.73>3.91>4.55>4.85;64
DN50;DN20>DN25>DN32>DN40;60.32;26.67>33.4>42.16>48.26;5.54;3.91>4.55>4.85>5.08;76
DN65;DN25>DN32>DN40>DN50;73.02;33.4>42.16>48.26>60.32;7.01;4.55>4.85>5.08>5.54;89
DN80;DN32>DN40>DN50>DN65;88.9;42.16>48.26>60.32>73.02;7.62;4.85>5.08>5.54>7.01;89
DN90;DN32>DN40>DN50>DN65>DN80;101.6;42.16>48.26>60.32>73.02>88.9;8.08;4.85>5.08>5.54>7.01>7.62;102
DN100;DN40>DN50>DN65>DN80>DN90;114.3;48.26>60.32>73.02>88.9>101.6;8.56;5.08>5.54>7.01>7.62>8.08;102
DN125;DN50>DN65>DN80>DN90>DN100;141.3;60.32>73.02>88.9>101.6>114.3;9.52;5.54>7.01>7.62>8.08>8.56;127
DN150;DN65>DN80>DN90>DN100>DN125;168.27;73.02>88.9>101.6>114.3>141.3;10.97;7.01>7.62>8.08>8.56>9.52;140
DN200;DN90>DN100>DN125>DN150;219.07;101.6>114.3>141.3>168.27;12.7;8.08>8.56>9.52>10.97;152
DN250;DN100>DN125>DN150>DN200;273.05;114.3>141.3>168.27>219.07;12.7;8.56>9.52>10.97>12.7;178
DN300;DN125>DN150>DN200>DN250;323.85;141.3>168.27>219.07>273.05;12.7;9.52>10.97>12.7>12.7;203
DN350;DN150>DN200>DN250>DN300;355.6;168.27>219.07>273.05>323.85;12.7;10.97>12.7>12.7>12.7;330
DN400;DN200>DN250>DN300>DN350;406.4;219.07>273.05>323.85>355.6;12.7;12.7>12.7>12.7>12.7;356
DN450;DN250>DN300>DN350>DN400;457.2;273.05>323.85>355.6>406.4;12.7;12.7>12.7>12.7>12.7;381
DN500;DN300>DN350>DN400>DN450;508;323.85>355.6>406.4>457.2;12.7;12.7>12.7>12.7>12.7;508
DN550;DN350>DN400>DN450>DN500;558.8;355.6>406.4>457.2>508;12.7;12.7>12.7>12.7>12.7;508
DN600;DN400>DN450>DN500>DN550;609.6;406.4>457.2>508>558.8;12.7;12.7>12.7>12.7>12.7;508
