SSize;stype;H;W;slot_width;slot_depth;;;;;;;;;
T-Slot2020;TSLOT;20;20;4;8;;;;;;;;;
T-Slot2525;TSLOT;120;114;5;8;;;;;;;;;
T-Slot3030;TSLOT;140;133;5.5;8.5;;;;;;;;;
T-Slot4040;TSLOT;0;152;6;9;;;;;;;;;
T-Slot4040-L;TSLOT;0;171;6;9.5;;;;;;;;;
T-Slot4040-UL;TSLOT;0;190;6.5;10;;;;;;;;;
T-Slot4080;TSLOT;0;210;7;11;;;;;;;;;
T-Slot4080-L;TSLOT;230;7.5;12;;;;;;;;;
T-Slot4545;TSLOT;0;250;7.5;12.5;;;;;;;;;
T-Slot4545-L;TSLOT;0;250;7.5;12.5;;;;;;;;;
T-Slot2550;TSLOT;0;270;8;13;;;;;;;;;
T-Slot2514;TSLOT;0;290;8.5;14;;;;;;;;;
T-Slot2040;TSLOT;0;310;9;15.5;;;;;;;;;
T-Slot8080;TSLOT;0;330;9.5;16.5;;;;;;;;;
T-Slot4003;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot5050;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot2576;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot3060;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot4590;TSLOT;300;350;10;17.5;;;;;;;;;
T-Slot9090;TSLOT;300;350;10;17.5;;;;;;;;;
