PSize;PSizeBranch;OD;OD2;thk;thk2;C;M
DN15;DN15;21.34;21.34;7.47;7.47;25;25
DN20;DN20;26.67;26.67;7.82;7.82;29;29
DN25;DN25;33.4;33.4;9.09;9.09;38;38
DN32;DN25;42.16;33.4;9.7;9.09;48;48
DN32;DN32;42.16;42.16;9.7;9.7;48;48
DN40;DN25;48.26;33.4;10.16;9.09;57;57
DN40;DN32;48.26;42.16;10.16;9.7;57;57
DN40;DN40;48.26;48.26;10.16;10.16;57;57
DN50;DN25;60.32;33.4;11.07;9.09;64;51
DN50;DN32;60.32;42.16;11.07;9.7;64;57
DN50;DN40;60.32;48.26;11.07;10.16;64;60
DN50;DN50;60.32;60.32;11.07;11.07;64;64
DN65;DN25;73.02;33.4;14.02;9.09;76;57
DN65;DN32;73.02;42.16;14.02;9.7;76;64
DN65;DN40;73.02;48.26;14.02;10.16;76;67
DN65;DN50;73.02;60.32;14.02;11.07;76;70
DN65;DN65;73.02;73.02;14.02;14.02;76;76
DN80;DN32;88.9;42.16;15.24;9.7;86;70
DN80;DN40;88.9;48.26;15.24;10.16;86;73
DN80;DN50;88.9;60.32;15.24;11.07;86;76
DN80;DN80;88.9;88.9;15.24;15.24;86;86
DN100;DN40;114.3;48.26;17.12;10.16;105;86
DN100;DN50;114.3;60.32;17.12;11.07;105;89
DN100;DN80;114.3;88.9;17.12;15.24;105;98
DN100;DN100;114.3;114.3;17.12;17.12;105;105
DN125;DN125;141.3;141.3;19.05;19.05;124;124
DN150;DN80;168.27;88.9;21.95;15.24;143;124
DN150;DN100;168.27;114.3;21.95;17.12;143;130
DN150;DN150;168.27;168.27;21.95;21.95;143;143
DN200;DN100;219.07;114.3;22.22;17.12;178;156
DN200;DN150;219.07;168.27;22.22;21.95;178;168
DN200;DN200;219.07;219.07;22.22;22.22;178;178
DN250;DN100;273.05;114.3;25.4;17.12;216;184
DN250;DN150;273.05;168.27;25.4;21.95;216;194
DN250;DN200;273.05;219.07;25.4;22.22;216;203
DN250;DN250;273.05;273.05;25.4;25.4;216;216
DN300;DN150;323.85;168.27;25.4;21.95;254;219
DN300;DN200;323.85;219.07;25.4;22.22;254;229
DN300;DN250;323.85;273.05;25.4;25.4;254;241
DN300;DN300;323.85;323.85;25.4;25.4;254;254
