PSize;VType;H;Kv;Conn
DN25;Ball_LongPatternRF;254;10000;900lb
DN32;Ball_LongPatternRF;279;10000;900lb
DN40;Ball_LongPatternRF;305;10000;900lb
DN50;Ball_LongPatternRF;368;10000;900lb
DN65;Ball_LongPatternRF;419;10000;900lb
DN80;Ball_LongPatternRF;381;10000;900lb
DN100;Ball_LongPatternRF;457;10000;900lb
DN150;Ball_LongPatternRF;610;10000;900lb
DN200;Ball_LongPatternRF;737;10000;900lb
DN250;Ball_LongPatternRF;838;10000;900lb
DN300;Ball_LongPatternRF;965;10000;900lb
DN350;Ball_LongPatternRF;1029;10000;900lb
DN400;Ball_LongPatternRF;1130;10000;900lb
DN450;Ball_LongPatternRF;1219;10000;900lb
DN500;Ball_LongPatternRF;1321;10000;900lb
DN600;Ball_LongPatternRF;1549;10000;900lb
